time="2025-09-13T23:40:20-05:00" level=info msg="Visualization available at: http://localhost:4000/#/local"
time="2025-09-13T23:40:21-05:00" level=info msg="[Analyze] Procesando archivo #72: /home/shinji/Escritorio/Proyectos/kubernetes/cmd/import-boss/testdata/simple-fwd/neither/n1/file.go"
time="2025-09-13T23:40:21-05:00" level=info msg="[Analyze] Procesando archivo #73: /home/shinji/Escritorio/Proyectos/kubernetes/cmd/import-boss/testdata/simple-fwd/neither/n2/file.go"
time="2025-09-13T23:40:21-05:00" level=info msg="[Analyze] Procesando archivo #74: /home/shinji/Escritorio/Proyectos/kubernetes/cmd/import-boss/testdata/transitive/aaa/file.go"
time="2025-09-13T23:40:21-05:00" level=info msg="[Analyze] Procesando archivo #75: /home/shinji/Escritorio/Proyectos/kubernetes/cmd/import-boss/testdata/transitive/allowed/a1/file.go"
time="2025-09-13T23:40:21-05:00" level=info msg="[Analyze] Procesando archivo #76: /home/shinji/Escritorio/Proyectos/kubernetes/cmd/import-boss/testdata/transitive/allowed/a2/file.go"
time="2025-09-13T23:40:21-05:00" level=info msg="[Analyze] Procesando archivo #77: /home/shinji/Escritorio/Proyectos/kubernetes/cmd/import-boss/testdata/transitive/allowed/file.go"
time="2025-09-13T23:40:21-05:00" level=info msg="[Analyze] Procesando archivo #78: /home/shinji/Escritorio/Proyectos/kubernetes/cmd/import-boss/testdata/transitive/forbidden/f1/file.go"
time="2025-09-13T23:40:21-05:00" level=info msg="[Analyze] Procesando archivo #79: /home/shinji/Escritorio/Proyectos/kubernetes/cmd/import-boss/testdata/transitive/forbidden/f2/file.go"
time="2025-09-13T23:40:21-05:00" level=info msg="[Analyze] Procesando archivo #80: /home/shinji/Escritorio/Proyectos/kubernetes/cmd/import-boss/testdata/transitive/forbidden/file.go"
time="2025-09-13T23:40:21-05:00" level=info msg="[Analyze] Procesando archivo #81: /home/shinji/Escritorio/Proyectos/kubernetes/cmd/import-boss/testdata/transitive/neither/file.go"
time="2025-09-13T23:40:21-05:00" level=info msg="[Analyze] Procesando archivo #82: /home/shinji/Escritorio/Proyectos/kubernetes/cmd/import-boss/testdata/transitive/neither/n1/file.go"
time="2025-09-13T23:40:21-05:00" level=info msg="[Analyze] Procesando archivo #83: /home/shinji/Escritorio/Proyectos/kubernetes/cmd/import-boss/testdata/transitive/neither/n2/file.go"
time="2025-09-13T23:40:21-05:00" level=info msg="[Analyze] Procesando archivo #84: /home/shinji/Escritorio/Proyectos/kubernetes/cmd/importverifier/importverifier.go"
time="2025-09-13T23:40:21-05:00" level=info msg="[Analyze] Procesando archivo #85: /home/shinji/Escritorio/Proyectos/kubernetes/cmd/kube-apiserver/apiserver.go"
time="2025-09-13T23:40:21-05:00" level=info msg="[Analyze] Procesando archivo #86: /home/shinji/Escritorio/Proyectos/kubernetes/cmd/kube-apiserver/app/aggregator.go"
time="2025-09-13T23:40:21-05:00" level=info msg="[Analyze] Procesando archivo #87: /home/shinji/Escritorio/Proyectos/kubernetes/cmd/kube-apiserver/app/config.go"
time="2025-09-13T23:40:21-05:00" level=info msg="[Analyze] Procesando archivo #88: /home/shinji/Escritorio/Proyectos/kubernetes/cmd/kube-apiserver/app/options/completion.go"
time="2025-09-13T23:40:21-05:00" level=info msg="[Analyze] Procesando archivo #89: /home/shinji/Escritorio/Proyectos/kubernetes/cmd/kube-apiserver/app/options/completion_test.go"
time="2025-09-13T23:40:21-05:00" level=info msg="[Analyze] Procesando archivo #90: /home/shinji/Escritorio/Proyectos/kubernetes/cmd/kube-apiserver/app/options/options.go"
time="2025-09-13T23:40:21-05:00" level=info msg="[Analyze] Procesando archivo #91: /home/shinji/Escritorio/Proyectos/kubernetes/cmd/kube-apiserver/app/options/options_test.go"
time="2025-09-13T23:40:21-05:00" level=info msg="[Analyze] Procesando archivo #92: /home/shinji/Escritorio/Proyectos/kubernetes/cmd/kube-apiserver/app/options/validation.go"
time="2025-09-13T23:40:21-05:00" level=info msg="[Analyze] Procesando archivo #93: /home/shinji/Escritorio/Proyectos/kubernetes/cmd/kube-apiserver/app/options/validation_test.go"
time="2025-09-13T23:40:21-05:00" level=info msg="[Analyze] Procesando archivo #94: /home/shinji/Escritorio/Proyectos/kubernetes/cmd/kube-apiserver/app/server.go"
time="2025-09-13T23:40:21-05:00" level=info msg="[Analyze] Procesando archivo #95: /home/shinji/Escritorio/Proyectos/kubernetes/cmd/kube-apiserver/app/testing/testserver.go"
time="2025-09-13T23:40:21-05:00" level=info msg="[Analyze] Procesando archivo #96: /home/shinji/Escritorio/Proyectos/kubernetes/cmd/kube-controller-manager/app/apps.go"
time="2025-09-13T23:40:21-05:00" level=info msg="[Analyze] Procesando archivo #97: /home/shinji/Escritorio/Proyectos/kubernetes/cmd/kube-controller-manager/app/autoscaling.go"
time="2025-09-13T23:40:21-05:00" level=info msg="[Analyze] Procesando archivo #98: /home/shinji/Escritorio/Proyectos/kubernetes/cmd/kube-controller-manager/app/batch.go"
time="2025-09-13T23:40:21-05:00" level=info msg="[Analyze] Procesando archivo #99: /home/shinji/Escritorio/Proyectos/kubernetes/cmd/kube-controller-manager/app/bootstrap.go"
time="2025-09-13T23:40:21-05:00" level=info msg="[Analyze] Procesando archivo #100: /home/shinji/Escritorio/Proyectos/kubernetes/cmd/kube-controller-manager/app/certificates.go"
time="2025-09-13T23:40:21-05:00" level=info msg="[Analyze] Procesando archivo #101: /home/shinji/Escritorio/Proyectos/kubernetes/cmd/kube-controller-manager/app/certificates_test.go"
time="2025-09-13T23:40:21-05:00" level=info msg="[Analyze] Procesando archivo #102: /home/shinji/Escritorio/Proyectos/kubernetes/cmd/kube-controller-manager/app/config/config.go"
time="2025-09-13T23:40:21-05:00" level=info msg="[Analyze] Procesando archivo #103: /home/shinji/Escritorio/Proyectos/kubernetes/cmd/kube-controller-manager/app/controllermanager.go"
time="2025-09-13T23:40:21-05:00" level=info msg="[Analyze] Procesando archivo #104: /home/shinji/Escritorio/Proyectos/kubernetes/cmd/kube-controller-manager/app/controllermanager_test.go"
time="2025-09-13T23:40:21-05:00" level=info msg="[Analyze] Procesando archivo #105: /home/shinji/Escritorio/Proyectos/kubernetes/cmd/kube-controller-manager/app/core.go"
time="2025-09-13T23:40:21-05:00" level=info msg="[Analyze] Procesando archivo #106: /home/shinji/Escritorio/Proyectos/kubernetes/cmd/kube-controller-manager/app/core_test.go"
time="2025-09-13T23:40:21-05:00" level=info msg="[Analyze] Procesando archivo #107: /home/shinji/Escritorio/Proyectos/kubernetes/cmd/kube-controller-manager/app/discovery.go"
time="2025-09-13T23:40:21-05:00" level=info msg="[Analyze] Procesando archivo #108: /home/shinji/Escritorio/Proyectos/kubernetes/cmd/kube-controller-manager/app/import_known_versions.go"
time="2025-09-13T23:40:21-05:00" level=info msg="[Analyze] Procesando archivo #109: /home/shinji/Escritorio/Proyectos/kubernetes/cmd/kube-controller-manager/app/networking.go"
time="2025-09-13T23:40:21-05:00" level=info msg="[Analyze] Procesando archivo #110: /home/shinji/Escritorio/Proyectos/kubernetes/cmd/kube-controller-manager/app/options/attachdetachcontroller.go"
time="2025-09-13T23:40:21-05:00" level=info msg="[Analyze] Procesando archivo #111: /home/shinji/Escritorio/Proyectos/kubernetes/cmd/kube-controller-manager/app/options/cronjobcontroller.go"
time="2025-09-13T23:40:21-05:00" level=info msg="[Analyze] Procesando archivo #112: /home/shinji/Escritorio/Proyectos/kubernetes/cmd/kube-controller-manager/app/options/csrsigningcontroller.go"
time="2025-09-13T23:40:21-05:00" level=info msg="[Analyze] Procesando archivo #113: /home/shinji/Escritorio/Proyectos/kubernetes/cmd/kube-controller-manager/app/options/daemonsetcontroller.go"
time="2025-09-13T23:40:21-05:00" level=info msg="[Analyze] Procesando archivo #114: /home/shinji/Escritorio/Proyectos/kubernetes/cmd/kube-controller-manager/app/options/deploymentcontroller.go"
time="2025-09-13T23:40:21-05:00" level=info msg="[Analyze] Procesando archivo #115: /home/shinji/Escritorio/Proyectos/kubernetes/cmd/kube-controller-manager/app/options/deprecatedcontroller.go"
time="2025-09-13T23:40:21-05:00" level=info msg="[Analyze] Procesando archivo #116: /home/shinji/Escritorio/Proyectos/kubernetes/cmd/kube-controller-manager/app/options/endpointcontroller.go"
time="2025-09-13T23:40:21-05:00" level=info msg="[Analyze] Procesando archivo #117: /home/shinji/Escritorio/Proyectos/kubernetes/cmd/kube-controller-manager/app/options/endpointslicecontroller.go"
time="2025-09-13T23:40:21-05:00" level=info msg="[Analyze] Procesando archivo #118: /home/shinji/Escritorio/Proyectos/kubernetes/cmd/kube-controller-manager/app/options/endpointslicemirroringcontroller.go"
time="2025-09-13T23:40:21-05:00" level=info msg="[Analyze] Procesando archivo #119: /home/shinji/Escritorio/Proyectos/kubernetes/cmd/kube-controller-manager/app/options/ephemeralcontroller.go"
time="2025-09-13T23:40:21-05:00" level=info msg="[Analyze] Procesando archivo #120: /home/shinji/Escritorio/Proyectos/kubernetes/cmd/kube-controller-manager/app/options/garbagecollectorcontroller.go"
time="2025-09-13T23:40:21-05:00" level=info msg="[Analyze] Procesando archivo #121: /home/shinji/Escritorio/Proyectos/kubernetes/cmd/kube-controller-manager/app/options/hpacontroller.go"
time="2025-09-13T23:40:21-05:00" level=info msg="[Analyze] Procesando archivo #122: /home/shinji/Escritorio/Proyectos/kubernetes/cmd/kube-controller-manager/app/options/jobcontroller.go"
time="2025-09-13T23:40:21-05:00" level=info msg="[Analyze] Procesando archivo #123: /home/shinji/Escritorio/Proyectos/kubernetes/cmd/kube-controller-manager/app/options/legacyserviceaccounttokencleaner.go"
time="2025-09-13T23:40:21-05:00" level=info msg="[Analyze] Procesando archivo #124: /home/shinji/Escritorio/Proyectos/kubernetes/cmd/kube-controller-manager/app/options/namespacecontroller.go"
time="2025-09-13T23:40:21-05:00" level=info msg="[Analyze] Procesando archivo #125: /home/shinji/Escritorio/Proyectos/kubernetes/cmd/kube-controller-manager/app/options/nodeipamcontroller.go"
time="2025-09-13T23:40:21-05:00" level=info msg="[Analyze] Procesando archivo #126: /home/shinji/Escritorio/Proyectos/kubernetes/cmd/kube-controller-manager/app/options/nodelifecyclecontroller.go"
time="2025-09-13T23:40:21-05:00" level=info msg="[Analyze] Procesando archivo #127: /home/shinji/Escritorio/Proyectos/kubernetes/cmd/kube-controller-manager/app/options/options.go"
time="2025-09-13T23:40:21-05:00" level=info msg="[Analyze] Procesando archivo #128: /home/shinji/Escritorio/Proyectos/kubernetes/cmd/kube-controller-manager/app/options/options_test.go"
time="2025-09-13T23:40:21-05:00" level=info msg="[Analyze] Procesando archivo #129: /home/shinji/Escritorio/Proyectos/kubernetes/cmd/kube-controller-manager/app/options/persistentvolumebindercontroller.go"
time="2025-09-13T23:40:21-05:00" level=info msg="[Analyze] Procesando archivo #130: /home/shinji/Escritorio/Proyectos/kubernetes/cmd/kube-controller-manager/app/options/podgccontroller.go"
time="2025-09-13T23:40:21-05:00" level=info msg="[Analyze] Procesando archivo #131: /home/shinji/Escritorio/Proyectos/kubernetes/cmd/kube-controller-manager/app/options/replicasetcontroller.go"
time="2025-09-13T23:40:21-05:00" level=info msg="[Analyze] Procesando archivo #132: /home/shinji/Escritorio/Proyectos/kubernetes/cmd/kube-controller-manager/app/options/replicationcontroller.go"
